,freq
chars,804
bitcoin,316
cryptocurrency,229
crypto,142
market,139
blockchain,129
new,112
price,101
2018,93
first,76
one,75
trading,73
us,70
exchange,70
world,67
cryptocurrencies,67
company,65
markets,64
year,60
share,57
today,55
digital,54
technology,54
million,53
data,52
investors,51
financial,50
week,50
industry,47
key,47
since,45
october,45
10,45
global,45
billion,44
usd,43
dollar,43
money,43
largest,42
years,41
announced,41
support,40
last,39
based,39
time,39
research,38
amp,38
major,37
currency,37
pair,37
may,36
news,36
according,36
thursday,35
around,35
ethereum,34
like,34
stocks,33
many,33
exchanges,33
platform,32
two,32
recently,32
wednesday,31
roubini,31
percent,31
responsible,30
com,30
top,30
said,30
report,30
also,29
number,29
tech,28
system,28
could,28
day,28
press,28
ccn,28
way,28
back,28
chart,28
still,28
people,28
much,27
gt,27
losses,27
stock,27
release,27
get,27
facebook,27
past,26
points,26
even,26
btc,26
sell,26
co,26
network,25
fund,25
oct,25
