,freq
bitcoin,45680
say,31286
market,23652
cryptocurrency,21723
use,21045
blockchain,19859
function,19065
one,18170
year,18105
new,17314
make,17304
get,16728
company,16419
price,16041
time,15473
currency,15101
cryptocurrencies,14458
also,14341
like,14325
go,13557
exchange,13492
people,13463
would,12794
var,11821
crypto,11693
technology,11687
take,11553
com,11295
news,11192
see,11112
world,11101
money,11072
bank,10893
could,10591
platform,10518
last,10339
investor,10173
service,9842
high,9792
financial,9744
day,9731
first,9495
business,9440
digital,9392
value,9040
data,8813
base,8630
may,8564
trade,8558
well,8513
know,8419
week,8383
way,8336
look,8299
report,8286
start,8266
right,8195
stock,8181
think,8177
security,8176
need,8162
even,8099
come,8063
work,8050
buy,7960
back,7951
transaction,7951
coin,7949
many,7917
user,7664
mp,7656
window,7565
big,7456
system,7402
return,7348
investment,7209
future,7168
million,7150
want,6961
trading,6952
percent,6920
since,6867
end,6797
government,6719
around,6622
month,6560
include,6530
much,6488
two,6455
good,6438
network,6369
call,6359
still,6296
create,6283
account,6170
thing,6125
share,6123
low,6121
sell,6117
state,6106
